make,model,variant,year,heavy_duty_part,extra_heavy_duty_part,premium_part,agm_efb_part,comments,reg_required,page
TOYOTA,RAV4,"MAXAA, 2.0L, Petrol",2018 onward,,3554,,,,,138
TOYOTA,RUKUS,All variants,2010 onward,,,2544,4032,4032 is alternate fitment option.,,138
TOYOTA,SOARER,Grey Import,1991 to 2000,,4704,,5594,,,138
TOYOTA,SPACIA,2.2L,1993 to 1998,,,2543,,,,138
TOYOTA,SPACIA,2.0L,1998 to 2001,,,2383,,,,138
TOYOTA,SPRINTER,All variants,1983 to 1985,,,2134,,,,138
TOYOTA,SPRINTER,All variants,1994 to 1996,,2502,2542,,,,138
TOYOTA,STARLET,All variants,1996 to 1999,,,2136,,,,138
TOYOTA,STOUT,All variants,1970 to 1983,,4503,,,,,138
TOYOTA,SUPRA,"Mk II [A60], 2.8L",1983 to 1986,,,2542,,,,138
TOYOTA,SUPRA,"Mk III [A70], 3.0L",1986 to 1993,,,2543,,,,138
TOYOTA,SUPRA,"3.0L, Petrol",2019 onward,,,,3888,Current Sensor Warning - refer to MasterFit.,Yes,138
TOYOTA,T-18,All variants,1979 to 1983,,,2134,,,,138
TOYOTA,TARAGO,4WD,1983 to 1990,,,2543,,,,138
TOYOTA,TARAGO,Diesel,1983 to 1990,,4503,,,,,138
TOYOTA,TARAGO,Petrol,1983 to 1990,,,2382,,,,138
TOYOTA,TARAGO,"XR10, XR20",1990 to 2000,,,2544,4032,4032 is alternate fitment option.,,138
TOYOTA,TARAGO,"XR10, XR20, 4WD",1990 to 2000,,,2544,4032,4032 is alternate fitment option.,,138
TOYOTA,TARAGO,"XR30, XR40",2000 to 2006,,,2136,,,,138
TOYOTA,TARAGO,"XR50, 4cyl",2006 onward,,,2544,4032,4032 is alternate fitment option.,,138
TOYOTA,TARAGO,"XR50, V6",2006 onward,,4504,,5582,,,138
TOYOTA,TERCEL,All variants,1983 to 1988,,,2381 2135,,,,138
TOYOTA,TOWNACE,All variants,1992 to 1997,,,2543,,,,138
TOYOTA,TOWNACE,All variants,1997 to 2005,,,2383,,,,138
TOYOTA,TOYOACE,All variants,1982 to 1985,,4503,,,,,138
TOYOTA,TRD,Aurion,2007 to 2009,,,2544,4032,4032 is alternate fitment option.,,138
TOYOTA,TRD,Hilux,2007 to 2009,,4504,,5582,,,138
TOYOTA,VIENTA,VCV10,1995 to 1997,,,2544,4032,4032 is alternate fitment option.,,138
TOYOTA,VIENTA,MCR20R,1997 to 2000,,,2544,4032,4032 is alternate fitment option.,,138
TOYOTA,YARIS,All variants,2005 to 2010,,,2136,,,,138
TOYOTA,YARIS,All variants,2005 to 2012,,,2136,,,,138
TOYOTA,YARIS,All variants,2011 onward,,,2136,,,,139
TOYOTA,YARIS CROSS,All variants,2020 onward,,5344,,,,,139
TRIUMPH,2.5,All variants,1969 to 1975,,,2134,,,,139
TRIUMPH,2000,All variants,1964 to 1976,,2501,2541,,,,139
TRIUMPH,2500,All variants,1973 to 1978,,,2134,,,,139
TRIUMPH,12 Fifty,All variants,1964 to 1966,,,2134,,,,139
TRIUMPH,DOLOMITE,All variants,1975 to 1978,,,2134,,,,139
TRIUMPH,GT6,All variants,1967 to 1973,,,2134,,,,139
TRIUMPH,HERALD,All variants,1960 to 1964,,2501,2541,,,,139
TRIUMPH,SPITFIRE,All variants,1963 to 1972,,2501,2541,,,,139
TRIUMPH,STAG,All variants,1972 to 1978,,2501,2541,,Power steering pump must be removed to install battery. Refer to workshop.,,139
TRIUMPH,TR,All variants,1960 to 1981,,2501,2541,,,,139
TVR,3000,All variants,1973 to 1978,,,2134,,,,139
TVR,CERBERA,All variants,1998 to 2003,,4503,,,,,139
TVR,CHIMAERA,All variants,1996 to 2003,,,3552,,,,139
TVR,GRIFFITH,All variants,1963 to 1965,,4503,,,,,139
TVR,GRIFFITH,All variants,1997 to 2003,,4503,,,,,139
VAUXHALL,VIVA,All variants,1960 to 1967,,,2134,,,,139
VOLKSWAGEN,1500,All variants,1963 to 1971,6603,,,,,,139
VOLKSWAGEN,1600,All variants,1966 to 1976,,3372,3552,,,,139
VOLKSWAGEN,AMAROK,Diesel,2011 to 2016,,3664,3884,5536 3888,"Some fit 3664, some fit 3884. Stop Start variants must use AGM.",,139
VOLKSWAGEN,AMAROK,Petrol,2011 to 2016,,3664,,5536,Stop Start variants must use AGM.,,140
VOLKSWAGEN,AMAROK,"2.0L, DT4",2017 onward,,3664,,5536,Stop Start variants must use AGM.,,140
VOLKSWAGEN,AMAROK,"3.0L, DTV6",2017 onward,,,,5556,Stop Start variants must use AGM.,,140
VOLKSWAGEN,ARTEON,206 TSI R-LINE,2017 onward,,,3772,4036,Stop Start variants must use AGM.,Yes,140
VOLKSWAGEN,BEETLE,1200,1960 to 1975,6603,,,,,,140
VOLKSWAGEN,BEETLE,1300,1960 to 1975,6603,,,,,,140
VOLKSWAGEN,BEETLE,1500,1960 to 1975,6603,,,,,,140
VOLKSWAGEN,BEETLE,1.6L,1960 to 1975,,3372,3552,,,,140
VOLKSWAGEN,BEETLE,"9C, Diesel",2000 to 2013,,3664,,5536,,,140
VOLKSWAGEN,BEETLE,"9C, Petrol",2000 to 2013,,3554,,5526,,,140
VOLKSWAGEN,BEETLE,"1L, 1.4L, Petrol",2013 onward,,3664,,5536,,Yes,140
VOLKSWAGEN,BORA,2.0L,1999 to 2007,,3554,,5526,,Yes,140
VOLKSWAGEN,BORA,2.3L V5,1999 to 2007,,3554,,5526,,,140
VOLKSWAGEN,BORA,2.8L V6,1999 to 2007,,3664,,5536,,,140
VOLKSWAGEN,CADDY,2K upgrade,2010 onward,,3554 3664,,4036 5536,"Stop Start variants must use AGM or EFB. Some fit 3554, some fit 3664.",,140
VOLKSWAGEN,CADDY,"2K, TDI250 Bluemotion",2010 onward,,,,4036 5536,"Stop Start, must use AGM.",,140
VOLKSWAGEN,CADDY,"2K, 1.6L, Petrol",2005 to 2010,,3554,,5526,,,140
VOLKSWAGEN,CADDY,"2K, 1.9L, Diesel",2005 to 2010,,3664,,5536,,,140
VOLKSWAGEN,CARAVELLE,Petrol,1982 to 2008,,3664,,5536,,,140
VOLKSWAGEN,CARAVELLE,Diesel,1982 to 2008,,3664,,4036 5536,"Stop Start, must use AGM.",,140
VOLKSWAGEN,CARAVELLE,"7H, Diesel",2008 onward,,3664,3552 3662,5536,,,140
VOLKSWAGEN,CC,TDI,2012 onward,,,,5536,,,140
VOLKSWAGEN,CC,V6 FSI,2012 onward,,,3884,5536,"Stop Start, must use AGM.",Yes,140
VOLKSWAGEN,CITIVAN,"T5, Diesel",2006 to 2010,,,3884,3888,,Yes,140
VOLKSWAGEN,CITIVAN,"T5, Petrol",2006 to 2010,,,3884,3888,,,140
VOLKSWAGEN,CRAFTER,All variants,2007 onward,,3664,3884,3888,"Some fit 3664 only, some fit 3884 only.",,140
VOLKSWAGEN,EOS,"1F, 147 TSI, Petrol",2007 to 2010,,3554 3664,,5526 5536,,,140
VOLKSWAGEN,EOS,"1F, 2.0L TDI, Diesel",2007 to 2010,,3554 3664,,5526 5536,,,140
VOLKSWAGEN,EOS,"1F, 2.0L TFSI, Petrol",2007 to 2010,,3554 3664,,5526 5536,,,140
VOLKSWAGEN,EOS,"1F, 155 TSI, Petrol",2010 onward,,3554 3664,,5526 5536,,Yes,140
